INFO 2025-06-03 12:31:40,430 autoreload Watching for file changes with StatReloader
DEBUG 2025-06-03 12:31:40,432 autoreload Waiting for apps ready_event.
DEBUG 2025-06-03 12:31:41,035 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-06-03 12:31:41,057 autoreload Watching dir C:\Users\asus\OneDrive\Documentos\MeusProjetos\Projeto-final\funcionario\templates with glob **/*.
DEBUG 2025-06-03 12:31:41,062 autoreload Watching dir C:\Users\asus\OneDrive\Documentos\MeusProjetos\Projeto-final\cliente\templates with glob **/*.
DEBUG 2025-06-03 12:31:41,062 autoreload Watching dir C:\Users\asus\OneDrive\Documentos\MeusProjetos\Projeto-final\home_pizzaria\templates with glob **/*.
DEBUG 2025-06-03 12:31:41,062 autoreload Watching dir C:\Users\asus\OneDrive\Documentos\MeusProjetos\Projeto-final\locale with glob **/*.mo.
DEBUG 2025-06-03 12:31:41,063 autoreload Watching dir C:\Users\asus\OneDrive\Documentos\MeusProjetos\Projeto-final\cliente\locale with glob **/*.mo.
DEBUG 2025-06-03 12:31:41,063 autoreload Watching dir C:\Users\asus\OneDrive\Documentos\MeusProjetos\Projeto-final\funcionario\locale with glob **/*.mo.
DEBUG 2025-06-03 12:31:41,064 autoreload Watching dir C:\Users\asus\OneDrive\Documentos\MeusProjetos\Projeto-final\home_pizzaria\locale with glob **/*.mo.
DEBUG 2025-06-03 12:31:41,097 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-06-03 12:31:41,100 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-06-03 12:31:41,401 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python313\Lib\sysconfig\__init__.py first seen with mtime 1738697856.0
DEBUG 2025-06-03 12:31:41,401 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1748273180.002226
DEBUG 2025-06-03 12:31:41,402 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py first seen with mtime 1748454664.3413196
DEBUG 2025-06-03 12:31:41,402 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python313\Lib\site-packages\charset_normalizer\md.cp313-win_amd64.pyd first seen with mtime 1748454664.224311
DEBUG 2025-06-03 12:31:41,403 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1748273179.9749951
DEBUG 2025-06-03 12:31:41,403 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\query.py first seen with mtime 1748273179.981109
DEBUG 2025-06-03 12:31:41,404 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1748273179.9264488
DEBUG 2025-06-03 12:31:41,405 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\url.py first seen with mtime 1748454663.9355648
DEBUG 2025-06-03 12:31:41,406 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1748273180.0032258
DEBUG 2025-06-03 12:31:41,406 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1748273179.919341
DEBUG 2025-06-03 12:31:41,407 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1748273179.9688835
DEBUG 2025-06-03 12:31:41,408 autoreload File C:\Users\asus\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\__init__.py first seen with mtime 1748273179.9163415
